StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,restaurants_1,restaurants_2,4chan_1,4chan_2,gaydar_1,gaydar_2,contagion_1,contagion_2,negotiations_1,negotiations_2,petrol_1,petrol_2,healthcare_1,healthcare_2,voting_1,voting_2,censorship_1,censorship_2,crowdfund_1,crowdfund_2,judges_1,judges_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"A researcher developed an algorithm to predict the outcome of health inspections in different restaurants using the text of the restaurant’s online reviews. They collaborate with the city government to use the algorithm to make decisions on which restaurants to inspect, and also post the results of health inspections on the review website. The prediction algorithm was published online, and the review platform publicly posts some subsets of their internal data (including reviews) for research.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher developed an algorithm to predict the outcome of health inspections in different restaurants using the text of the restaurant’s online reviews. They collaborate with the city government to use the algorithm to make decisions on which restaurants to inspect, and also post the results of health inspections on the review website. The prediction algorithm was published online, and the review platform publicly posts some subsets of their internal data (including reviews) for research.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher trained a large language model to generate offensive text based on millions of posts from a controversial online forum. They used this model to publish 30,000 new posts on this forum, and also published all their code so that their model can be studied by others. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher trained a large language model to generate offensive text based on millions of posts from a controversial online forum. They used this model to publish 30,000 new posts on this forum, and also published all their code so that their model can be studied by others. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher developed an algorithm to predict whether someone was gay or straight based on their profile photo taken from a social media site (with the true labels coming from their self-reported sexuality on that site). They posted the final algorithm, but not the original training data online afterwards.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher developed an algorithm to predict whether someone was gay or straight based on their profile photo taken from a social media site (with the true labels coming from their self-reported sexuality on that site). They posted the final algorithm, but not the original training data online afterwards.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher worked with a social network site to randomly (and covertly) vary what posts people see when they log on, based on the emotional content. They found that people who were shown more happy posts themselves posted more happy content afterwards, and people who were shown more sad posts themselves posted more sad content afterwards. The data and methods were not posted online. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher worked with a social network site to randomly (and covertly) vary what posts people see when they log on, based on the emotional content. They found that people who were shown more happy posts themselves posted more happy content afterwards, and people who were shown more sad posts themselves posted more sad content afterwards. The data and methods were not posted online. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher created a fake email address to study negotiation behaviour. They sent out emails to 1,000 people across the US who were selling iPhones online, asking for a discount. If the seller agreed, they would turn down the offer by saying they had agreed with a different seller. The anonymised data were posted online afterwards. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher created a fake email address to study negotiation behaviour. They sent out emails to 1,000 people across the US who were selling iPhones online, asking for a discount. If the seller agreed, they would turn down the offer by saying they had agreed with a different seller. The anonymised data were posted online afterwards. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher studied what people purchased at petrol stations, by secretly recording their license plate while they were at a petrol station, along with their purchasing behaviour at the station. They then looked up each drivers’ place of residence, parking ticket history, and car ownership status (including price paid). The anonymised data were posted online afterwards.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher studied what people purchased at petrol stations, by secretly recording their license plate while they were at a petrol station, along with their purchasing behaviour at the station. They then looked up each drivers’ place of residence, parking ticket history, and car ownership status (including price paid). The anonymised data were posted online afterwards.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher developed an algorithm for predicting health care treatments based on their recorded symptoms, trained on the details of historical patient records. The data are not posted online, but the algorithm is made available for any hospital to use for their patients. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher developed an algorithm for predicting health care treatments based on their recorded symptoms, trained on the details of historical patient records. The data are not posted online, but the algorithm is made available for any hospital to use for their patients. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher ran a study to test how social influence affects voting behavior. They sent letters to voters in a small town, including a list of every voter in their neighborhood. Some were told that a list of every person who voted would be published in the newspaper, and some were told that a list of ever person who didn't vote would be published in the newspaper. The anonymized data were posted online.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher ran a study to test how social influence affects voting behavior. They sent letters to voters in a small town, including a list of every voter in their neighborhood. Some were told that a list of every person who voted would be published in the newspaper, and some were told that a list of ever person who didn't vote would be published in the newspaper. The anonymized data were posted online.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher wanted to study internet censorship around the world. They decide to create a tool that would secretly run in people's web browsers that would periodically make requests over six months to major news websites to see which pages would be blocked or not. This was deployed at a smaller scale for users in countries across the world. They released the details (but not the exact code) of their algorithm publicly.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher wanted to study internet censorship around the world. They decide to create a tool that would secretly run in people's web browsers that would periodically make requests over six months to major news websites to see which pages would be blocked or not. This was deployed at a smaller scale for users in countries across the world. They released the details (but not the exact code) of their algorithm publicly.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher wanted to study the economics of crowdfunding. They originally planned to scrape the website of a popular crowdfunding platform. During their research, the platform was the target of a hacker attack, and all of its internal data were published publicly, including details that would have been difficult to scrape themselves. They decided to use the hacked data for their research instead.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher wanted to study the economics of crowdfunding. They originally planned to scrape the website of a popular crowdfunding platform. During their research, the platform was the target of a hacker attack, and all of its internal data were published publicly, including details that would have been difficult to scrape themselves. They decided to use the hacked data for their research instead.





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?","A researcher wanted to study the predictability of the decision-making of United States judges in their sentencing decisions. They decided to build a neural network that could predict jail sentences using past training data. They did not release their training data, but did publish their full algorithm publicly. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, does this research have ethical concerns?","A researcher wanted to study the predictability of the decision-making of United States judges in their sentencing decisions. They decided to build a neural network that could predict jail sentences using past training data. They did not release their training data, but did publish their full algorithm publicly. 





Answer the two questions below, using the sliding scale from 0 (not at all) to 100 (a lot). - In your opinion, how much would we learn from the results of this research?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}"
2022-06-13 13:23:20,2022-06-13 13:28:57,0,146.179.219.213,100,336,1,2022-06-13 13:28:58,R_3pmS6GRgmsDiItB,,,,,51.489,-0.215,anonymous,EN,70,80,80,100,100,40,80,80,70,80,80,80,100,90,90,90,100,100,100,100,90,100
2022-06-13 13:23:48,2022-06-13 13:29:24,0,94.119.64.78,100,335,1,2022-06-13 13:29:24,R_eanovShd6uuz91n,,,,,51.4964,-0.1224,anonymous,EN,25,70,90,60,85,70,90,75,40,50,90,70,60,85,90,80,70,70,80,75,40,65
2022-06-13 13:23:21,2022-06-13 13:29:42,0,146.169.153.53,100,381,1,2022-06-13 13:29:42,R_3R46vQvrRjvmMo7,,,,,51.509,-0.1882,anonymous,EN,88,67,60,47,60,50,71,51,60,54,92,59,62,60,40,60,100,20,91,85,60,70
2022-06-13 13:23:43,2022-06-13 13:30:15,0,146.179.219.178,100,392,1,2022-06-13 13:30:16,R_sTgK9ya4IBvSff3,,,,,51.489,-0.215,anonymous,EN,20,65,5,50,61,21,71,90,20,61,100,40,63,93,60,75,85,60,85,61,40,60
2022-06-13 13:23:36,2022-06-13 13:31:25,0,146.179.207.111,100,469,1,2022-06-13 13:31:26,R_9mixKVCesGtzyHn,,,,,51.443,-0.3295,anonymous,EN,50,74,70,30,56,2,100,100,32,86,71,60,19,91,100,82,100,83,71,65,25,94
2022-06-13 13:23:40,2022-06-13 13:31:28,0,146.179.201.216,100,468,1,2022-06-13 13:31:28,R_2Yijx9FSk5j6nWk,,,,,51.4809,0.0832,anonymous,EN,20,70,90,75,100,70,65,90,40,60,75,35,30,100,65,90,80,95,75,100,60,95
2022-06-13 13:24:14,2022-06-13 13:31:34,0,24.61.46.25,100,439,1,2022-06-13 13:31:35,R_2QYbBcq42Vi7S8n,,,,,42.3907,-71.1349,anonymous,EN,20,50,90,70,72,5,61,62,10,60,100,5,40,75,100,30,80,5,30,73,90,60
2022-06-13 13:23:33,2022-06-13 13:32:09,0,146.169.196.152,100,516,1,2022-06-13 13:32:10,R_XEOK6COP7qLHhQd,,,,,53.4467,-2.225,anonymous,EN,13,44,2,55,9,25,10,20,70,21,82,59,0,71,77,24,83,65,5,55,0,51
2022-06-13 13:25:34,2022-06-13 13:32:10,0,146.179.200.44,100,395,1,2022-06-13 13:32:10,R_eR8wlw8JYUfou5z,,,,,51.4809,0.0832,anonymous,EN,20,68,97,6,90,1,80,30,50,20,90,50,2,99,68,52,59,40,100,80,70,30
2022-06-13 13:22:04,2022-06-13 13:32:13,0,146.179.195.105,100,609,1,2022-06-13 13:32:14,R_BVxWYbkO4c48DL3,,,,,51.5428,-0.1978,anonymous,EN,78,9,92,7,66,1,5,18,70,31,80,11,26,68,46,73,70,31,77,18,55,78
2022-06-13 13:23:21,2022-06-13 13:32:23,0,146.179.193.90,100,542,1,2022-06-13 13:32:24,R_2fjuQEYVz1Hw9Bb,,,,,51.4483,-0.1383,anonymous,EN,6,19,8,10,21,21,58,28,12,15,21,6,60,40,65,65,9,9,30,15,61,50
2022-06-13 13:24:27,2022-06-13 13:33:08,0,146.169.141.74,100,520,1,2022-06-13 13:33:09,R_10r447QzVR33a4O,,,,,51.4889,-0.2318,anonymous,EN,58,76,2,81,88,7,10,31,10,25,28,75,9,100,26,67,92,13,100,79,80,82
2022-06-13 13:23:26,2022-06-13 13:33:13,0,146.169.130.168,100,587,1,2022-06-13 13:33:13,R_3gSj18zqSrvuXSn,,,,,51.4889,-0.2318,anonymous,EN,65,82,86,77,86,78,69,77,63,78,81,62,67,84,76,79,71,67,71,80,81,79
2022-06-13 13:24:23,2022-06-13 13:33:25,0,146.169.137.50,100,541,1,2022-06-13 13:33:25,R_30810DIB9g1LafK,,,,,51.489,-0.215,anonymous,EN,35,5,95,30,65,0,20,40,15,55,90,65,10,90,51,10,90,60,51,80,30,80
2022-06-13 13:25:29,2022-06-13 13:33:56,0,146.169.220.121,100,506,1,2022-06-13 13:33:56,R_aVH089aDmTf2oJX,,,,,51.5113,-0.2714,anonymous,EN,50,29,50,40,1,2,19,41,20,51,3,82,51,93,3,41,19,52,3,41,72,72
2022-06-13 13:24:33,2022-06-13 13:34:43,0,163.116.162.120,100,609,1,2022-06-13 13:34:44,R_3O8FGKIp0s4T3dH,,,,,51.5164,-0.093,anonymous,EN,28,82,92,100,100,80,87,92,65,85,77,76,100,50,92,100,100,90,100,50,100,50
2022-06-13 13:25:25,2022-06-13 13:35:09,0,146.179.203.16,100,584,1,2022-06-13 13:35:10,R_1DBzKnDVqxPCfFc,,,,,51.5466,-0.1232,anonymous,EN,1,100,100,5,50,10,0,100,90,50,100,100,50,100,100,100,100,80,1,100,1,5
2022-06-13 13:23:55,2022-06-13 13:35:14,0,146.179.195.142,100,678,1,2022-06-13 13:35:14,R_1OqQQFlHDrE6FQu,,,,,51.5164,-0.093,anonymous,EN,85,76,100,50,100,0,48,45,70,49,100,2,49,50,100,0,100,100,100,100,0,47
2022-06-13 13:23:29,2022-06-13 13:36:53,0,94.119.64.3,100,804,1,2022-06-13 13:36:53,R_9LJErtFekAL3bgt,,,,,51.4964,-0.1224,anonymous,EN,91,82,90,80,20,90,60,90,30,90,80,80,20,71,90,50,90,31,82,82,60,80
2022-06-13 13:41:03,2022-06-13 13:41:08,0,146.169.196.152,8,5,0,2022-06-13 13:57:08,R_1dAhLlX2qpQNfaB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2022-06-13 13:25:31,2022-06-13 13:38:06,0,94.119.64.34,92,754,0,2022-06-13 13:57:09,R_BKPDPApuDGTgBz3,,,,,,,anonymous,EN,86,62,100,0,100,0,100,93,61,93,100,20,72,0,100,81,100,72,100,40,100,29
2022-06-13 13:24:11,2022-06-13 13:31:23,0,146.179.194.197,92,432,0,2022-06-13 13:57:09,R_2YLELVp7B5LzBVM,,,,,,,anonymous,EN,20,70,100,70,100,20,100,20,100,70,100,20,100,70,100,20,100,20,100,20,100,70
2022-06-13 13:23:40,2022-06-13 13:29:52,0,146.179.206.242,92,371,0,2022-06-13 13:57:13,R_1g85E598ttqGr5O,,,,,,,anonymous,EN,38,73,40,83,33,62,77,64,49,68,77,62,85,74,76,39,82,68,81,78,77,72
2022-06-13 13:23:33,2022-06-13 13:39:28,0,146.179.196.85,92,954,0,2022-06-13 13:57:14,R_1ohZOJdHkvEkhov,,,,,,,anonymous,EN,70,22,72,16,100,5,86,10,28,71,100,5,65,85,100,55,100,17,70,76,24,93
